hid,pid,year1,age,edu,firmSize,workingHour,industry,job1,marriage,region,sex,wage,fullTime,firmType,sat_work1,sat_work2,sat_salary,sat_workingHour,sat_workingTotal,sat_workTotal,sat_spareTime,sat_house,sat_family,sat_social,sat_lifeTotal,sat_currentLife,sat_happiness
202750,20275004,2021,24,6,3,40,591,283,1,8,2,200,2,1,3,3,3,3,3,3,3,3,3,3,3,6,6
202761,20276101,2021,38,6,6,40,471,312,2,1,1,400,1,1,4,4,2,2,2,2,3,3,3,2,2,7,7
202772,20277201,2021,37,6,6,40,721,312,1,1,1,500,1,1,5,5,2,2,2,2,2,2,2,2,2,7,7
202785,20278504,2021,22,3,2,40,582,222,1,1,2,180,1,1,3,3,3,3,3,3,2,2,2,2,2,7,7
202786,20278602,2021,38,3,1,40,851,441,2,8,2,230,1,1,3,3,3,3,3,3,3,2,2,3,3,6,6
202788,20278802,2021,38,6,2,45,861,245,2,1,2,200,1,1,4,4,3,2,2,2,2,2,2,2,2,7,7
202789,20278901,2021,33,6,6,40,661,313,1,1,2,280,1,1,4,4,2,2,2,2,2,2,2,2,2,7,8
202794,20279403,2021,25,3,3,40,259,313,1,8,2,178,1,1,3,2,4,3,3,3,3,3,2,3,3,5,6
202818,20281803,2021,36,6,3,45,861,243,1,8,2,400,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3
202820,20282004,2021,32,6,4,40,204,312,1,8,2,280,1,1,3,3,3,3,3,3,2,2,2,2,2,7,7
210131,20282103,2021,34,6,5,40,464,312,2,8,1,480,1,1,4,3,3,3,2,2,3,2,2,2,2,7,8
202830,20283001,2021,31,6,1,40,872,247,1,1,1,230,1,3,3,3,3,3,3,3,2,2,2,2,2,7,7
202847,20284702,2021,38,6,6,40,861,312,2,1,2,350,1,1,4,4,2,3,2,2,3,2,2,2,2,8,8
202927,20292703,2021,27,6,4,40,582,312,1,1,1,280,1,1,3,3,3,3,3,3,3,3,3,3,3,6,6
202932,20293202,2021,30,6,6,40,641,320,1,3,2,250,1,3,4,4,2,2,2,2,2,2,2,2,2,7,7
202949,20294902,2021,31,4,6,40,303,753,1,5,1,261,1,1,3,2,4,2,3,3,3,4,3,3,3,5,5
202967,20296703,2021,31,6,5,48,262,863,1,8,1,290,1,1,3,3,4,3,3,3,3,4,4,3,3,5,6
202967,20296704,2021,29,6,6,40,511,312,1,8,1,340,1,1,3,2,4,3,3,3,3,4,3,3,3,5,6
202977,20297703,2021,36,5,4,40,620,224,1,1,1,250,1,1,4,4,3,2,3,3,3,3,3,3,3,6,6
202989,20298901,2021,35,6,2,26,856,312,1,1,1,170,2,1,4,4,3,3,3,3,3,3,3,3,3,7,7
203001,20300101,2021,35,6,6,40,551,312,2,8,1,700,1,1,3,4,3,2,2,2,3,2,2,3,2,7,8
203001,20300102,2021,33,6,6,40,141,273,2,8,2,400,1,1,4,4,3,2,2,2,2,3,2,3,2,7,8
203006,20300601,2021,31,3,4,40,241,930,1,5,1,380,1,1,4,5,2,1,2,2,2,1,1,1,2,9,9
210132,20301404,2021,28,6,4,40,582,222,1,1,1,350,1,1,4,4,2,2,2,2,3,3,3,3,3,7,7
203019,20301901,2021,38,5,1,40,729,710,2,5,1,480,1,1,3,3,3,3,3,3,3,3,3,3,3,5,5
203031,20303101,2021,31,5,6,40,861,243,1,4,1,350,1,1,5,5,2,1,1,1,2,2,1,2,2,3,9
203034,20303401,2021,37,6,6,40,301,235,2,8,1,500,1,1,4,4,2,2,2,2,2,2,2,2,2,7,7
203034,20303402,2021,34,6,4,32,853,251,2,8,2,200,1,1,3,3,3,3,3,3,2,2,2,2,2,7,8
203043,20304302,2021,35,3,6,40,204,832,1,8,1,300,2,1,4,4,2,2,2,2,2,2,2,2,2,7,8
203044,20304401,2021,39,5,4,40,521,921,2,8,2,300,1,1,4,4,2,2,2,2,2,2,2,2,2,7,8
203057,20305703,2021,26,6,3,40,902,313,1,8,2,210,1,3,4,4,2,2,2,2,2,2,2,2,2,7,7
203060,20306004,2021,21,6,1,40,872,247,1,8,2,200,1,1,3,3,3,3,3,3,2,2,2,2,2,7,7
203061,20306102,2021,39,6,2,40,861,245,2,8,2,300,1,1,3,3,3,3,3,3,2,2,2,2,2,7,7
203064,20306403,2021,34,3,3,40,262,864,1,8,1,250,1,1,3,3,3,3,3,3,3,3,3,3,3,6,6
203065,20306502,2021,28,6,2,40,620,222,1,8,1,200,1,1,3,3,2,2,2,2,2,2,2,2,2,7,7
203065,20306503,2021,28,6,6,40,471,312,1,8,1,200,1,1,4,4,2,2,2,2,2,2,2,2,2,7,7
203065,20306504,2021,28,3,1,40,961,422,1,8,1,100,2,1,3,3,3,3,3,3,2,2,2,2,2,7,7
203078,20307803,2021,33,3,6,40,521,874,1,8,1,220,1,1,3,3,3,3,3,3,2,2,2,2,2,6,7
203085,20308501,2021,36,5,4,40,463,521,2,8,2,200,2,1,3,3,3,3,3,3,3,3,2,2,3,6,8
203085,20308502,2021,36,5,4,40,423,761,2,8,1,250,1,1,3,3,3,3,3,3,3,3,3,3,3,6,6
203097,20309703,2021,33,6,4,40,872,245,1,8,2,250,1,3,4,4,2,2,2,2,2,2,2,2,2,7,7
203098,20309801,2021,30,6,6,40,261,234,2,8,1,830,1,1,4,4,2,2,2,2,2,2,2,2,2,7,7
203100,20310001,2021,39,6,6,40,466,510,2,8,1,400,1,1,4,4,2,2,2,2,2,2,2,2,2,6,7
203121,20312101,2021,39,3,6,40,261,234,2,8,1,810,1,1,4,4,2,2,2,2,2,2,2,2,2,7,8
203132,20313202,2021,38,3,1,25,561,952,2,8,2,100,2,1,3,3,3,3,3,3,3,3,3,3,3,7,7
203133,20313303,2021,20,4,1,16,471,521,1,8,2,40,2,1,3,3,3,3,3,3,3,3,2,2,3,5,7
203195,20319503,2021,28,5,3,40,303,922,1,5,1,199,1,1,3,4,4,3,2,3,2,2,3,3,3,6,6
203201,20320101,2021,36,5,6,40,529,753,2,5,1,271,1,3,4,3,3,2,2,3,3,2,2,3,2,7,7
203205,20320503,2021,33,6,4,40,292,312,1,5,1,340,1,1,4,3,3,3,2,2,3,3,2,3,2,6,7
203205,20320504,2021,27,5,4,40,411,312,1,5,2,240,1,1,3,3,4,3,3,3,3,2,2,3,3,6,7
203210,20321001,2021,34,5,6,40,107,819,3,8,1,300,1,1,4,3,3,3,3,3,3,3,3,3,3,5,5
203218,20321802,2021,39,6,2,40,861,399,2,5,2,320,1,1,4,3,2,2,2,2,2,2,2,2,2,7,8
203226,20322601,2021,39,3,3,21,751,952,3,5,2,100,2,1,2,3,3,2,3,3,2,2,2,2,3,6,7
203251,20325104,2021,22,4,5,5,561,952,1,1,2,20,2,1,5,5,3,3,3,3,3,3,3,3,3,8,7
203300,20330001,2021,31,6,6,40,861,312,2,1,2,350,1,1,3,3,3,3,3,3,3,2,2,2,2,9,10
203316,20331601,2021,28,6,3,40,739,223,1,1,1,210,1,1,4,4,4,2,2,2,3,2,2,2,2,7,7
203319,20331901,2021,35,6,3,40,620,222,1,1,1,300,1,1,4,4,4,4,2,2,2,2,2,2,2,10,10
203323,20332304,2021,34,6,2,40,721,231,1,1,1,250,1,1,4,4,3,2,2,2,2,2,2,2,2,7,7
203398,20339801,2021,36,6,6,40,701,235,2,5,1,555,1,1,3,3,3,3,2,2,2,2,2,3,2,7,7
203398,20339802,2021,38,5,4,40,212,312,2,5,2,370,1,1,3,3,3,3,3,3,3,3,2,3,3,7,7
203399,20339902,2021,39,5,3,40,841,412,2,5,2,225,1,3,4,3,2,2,2,2,3,2,2,2,2,7,8
203405,20340504,2021,23,3,1,20,561,442,1,5,1,80,2,1,3,3,3,3,3,3,3,3,3,3,3,5,5
203408,20340803,2021,34,6,6,40,471,312,1,5,1,290,1,1,3,3,3,5,3,3,3,3,4,3,3,4,5
203411,20341102,2021,31,5,6,40,651,510,1,5,1,98,2,1,3,3,4,3,3,3,3,3,2,3,3,4,5
